Task_ID,Employee_ID,Project_ID,Task,Time_Taken_Hours,Completion_Date,Name,Team,Role,Project_Name,Client
29,84,4,Meeting,4,2025-01-16,Charlotte Hinton,Admin,Office Manager,SRMG,Conley and Sons
30,52,5,Design Review,3,2025-01-12,Mary Oliver,Data,Data Engineer,NBC,"Mcclure, Howard and Patterson"
31,123,2,Design Review,6,2025-02-27,Deborah Perez,QA,QA Engineer,Revold World,Martinez-James
32,154,1,Database Optimization,11,2025-03-19,Charles Warren,Dev,Frontend Developer,Sopheon,"Griffith, Williams and Thornton"
33,16,1,Feature Development,1,2025-01-01,Megan Duncan,Data,Data Engineer,Sopheon,"Griffith, Williams and Thornton"
34,40,1,Database Optimization,7,2025-02-14,Virginia Sullivan,Data,Data Analyst,Sopheon,"Griffith, Williams and Thornton"
35,86,2,UI Enhancement,12,2025-01-23,Phillip Wright,Management,Product Owner,Revold World,Martinez-James
36,170,4,Code Review,12,2025-01-26,Timothy Manning,Data,Data Engineer,SRMG,Conley and Sons
37,161,3,Design Review,5,2025-03-25,Brent Wheeler,QA,Test Analyst,Planted,Clark and Sons
38,130,4,Security Patching,10,2025-03-28,Ryan Campbell,Management,Project Manager,SRMG,Conley and Sons
39,93,5,Design Review,5,2025-02-24,Kristen Golden,Design,UI Designer,NBC,"Mcclure, Howard and Patterson"
40,136,1,Security Patching,5,2025-01-20,Brittany Black,Design,Graphic Designer,Sopheon,"Griffith, Williams and Thornton"
41,47,4,Security Patching,1,2025-01-28,Scott Woods,Design,Graphic Designer,SRMG,Conley and Sons
42,187,2,Code Review,5,2025-01-22,Michelle Wells,Dev,Backend Developer,Revold World,Martinez-James
43,172,1,Performance Testing,8,2025-02-11,Jessica Morris,Dev,Software Engineer,Sopheon,"Griffith, Williams and Thornton"
44,84,2,Database Optimization,12,2025-02-08,Charlotte Hinton,Admin,Office Manager,Revold World,Martinez-James
45,194,3,Database Optimization,4,2025-01-09,Christopher Robinson,Data,ML Engineer,Planted,Clark and Sons
46,100,4,Design Review,5,2025-03-25,Dennis Lopez,Data,Data Analyst,SRMG,Conley and Sons
47,48,5,Testing,3,2025-02-06,Samantha Cardenas,Management,Project Manager,NBC,"Mcclure, Howard and Patterson"
48,38,5,Security Patching,3,2025-01-25,Cassandra Warren,Data,Data Engineer,NBC,"Mcclure, Howard and Patterson"
49,193,1,Bug Fixing,7,2025-02-13,Margaret Hernandez,Dev,Backend Developer,Sopheon,"Griffith, Williams and Thornton"
50,109,5,Code Review,8,2025-03-18,Laura Ray,QA,Automation Engineer,NBC,"Mcclure, Howard and Patterson"
51,97,2,Meeting,7,2025-02-21,Chelsea Leblanc,Management,Scrum Master,Revold World,Martinez-James
52,84,5,Design Review,1,2025-02-12,Charlotte Hinton,Admin,Office Manager,NBC,"Mcclure, Howard and Patterson"
53,19,4,Meeting,4,2025-01-03,Carla Clark,Data,Data Analyst,SRMG,Conley and Sons
54,194,4,Meeting,4,2025-02-12,Christopher Robinson,Data,ML Engineer,SRMG,Conley and Sons
55,73,2,Bug Fixing,10,2025-03-18,Bradley Robinson,QA,QA Engineer,Revold World,Martinez-James
56,192,5,UI Enhancement,11,2025-03-17,Justin Obrien,Management,Scrum Master,NBC,"Mcclure, Howard and Patterson"
57,31,1,Security Patching,5,2025-02-14,James Schroeder,Dev,Backend Developer,Sopheon,"Griffith, Williams and Thornton"
58,182,3,Meeting,6,2025-01-30,Nancy Parsons,Admin,HR,Planted,Clark and Sons
59,176,4,Testing,1,2025-03-17,Karen Chandler DDS,Data,Data Engineer,SRMG,Conley and Sons
60,95,2,Bug Fixing,8,2025-01-29,Miguel Miller,Management,Product Owner,Revold World,Martinez-James
61,121,1,Security Patching,11,2025-02-11,Alisha Mclean,Data,Data Engineer,Sopheon,"Griffith, Williams and Thornton"
62,98,2,Feature Development,6,2025-01-22,Debra Garner,Data,ML Engineer,Revold World,Martinez-James
63,154,2,Feature Development,4,2025-02-27,Charles Warren,Dev,Frontend Developer,Revold World,Martinez-James
64,163,5,Design Review,7,2025-02-19,William Johnston,Design,Graphic Designer,NBC,"Mcclure, Howard and Patterson"
65,78,3,UI Enhancement,11,2025-02-05,Paul Stevenson,Dev,Backend Developer,Planted,Clark and Sons
66,179,2,Meeting,5,2025-02-12,Jonathan Flowers,Admin,System Admin,Revold World,Martinez-James
67,14,3,UI Enhancement,7,2025-02-10,Holly Davidson,Admin,System Admin,Planted,Clark and Sons
68,192,2,Security Patching,10,2025-03-02,Justin Obrien,Management,Scrum Master,Revold World,Martinez-James
69,150,2,UI Enhancement,9,2025-01-02,Timothy Hernandez,Dev,Backend Developer,Revold World,Martinez-James
70,3,4,Security Patching,9,2025-03-19,Leslie Kemp,Dev,Frontend Developer,SRMG,Conley and Sons
71,38,1,Feature Development,8,2025-03-14,Cassandra Warren,Data,Data Engineer,Sopheon,"Griffith, Williams and Thornton"
72,89,4,Database Optimization,4,2025-01-09,Christopher Mcmahon,Design,Graphic Designer,SRMG,Conley and Sons
73,49,2,Bug Fixing,12,2025-03-24,Robert Baker,Dev,Software Engineer,Revold World,Martinez-James
74,93,3,Performance Testing,5,2025-02-17,Kristen Golden,Design,UI Designer,Planted,Clark and Sons
75,96,2,Design Review,9,2025-01-15,Amy Mccarthy,Management,Product Owner,Revold World,Martinez-James
76,109,5,Database Optimization,7,2025-02-22,Laura Ray,QA,Automation Engineer,NBC,"Mcclure, Howard and Patterson"
77,149,1,Security Patching,5,2025-02-08,Robert Murray,Design,Graphic Designer,Sopheon,"Griffith, Williams and Thornton"
78,175,2,Code Review,2,2025-01-30,Michael Gill,Management,Scrum Master,Revold World,Martinez-James
79,90,1,Design Review,12,2025-03-15,Scott Arellano,Management,Scrum Master,Sopheon,"Griffith, Williams and Thornton"
80,24,3,Code Review,6,2025-03-18,Michael Garcia,Design,Graphic Designer,Planted,Clark and Sons
81,125,1,Security Patching,11,2025-02-26,James Lynn,QA,QA Engineer,Sopheon,"Griffith, Williams and Thornton"
82,177,5,Performance Testing,1,2025-01-23,Shawn Frazier,Management,Product Owner,NBC,"Mcclure, Howard and Patterson"
83,186,4,Security Patching,8,2025-02-12,Jason Smith,Data,Data Engineer,SRMG,Conley and Sons
84,33,3,Design Review,2,2025-02-03,Gloria Robinson,Design,UI Designer,Planted,Clark and Sons
85,49,3,Bug Fixing,1,2025-01-01,Robert Baker,Dev,Software Engineer,Planted,Clark and Sons
86,73,4,Database Optimization,3,2025-03-20,Bradley Robinson,QA,QA Engineer,SRMG,Conley and Sons
87,174,3,Bug Fixing,7,2025-02-01,Michael Perez,Dev,Software Engineer,Planted,Clark and Sons
88,73,1,Feature Development,2,2025-02-19,Bradley Robinson,QA,QA Engineer,Sopheon,"Griffith, Williams and Thornton"
89,6,2,UI Enhancement,3,2025-02-12,Toni Wallace,Data,Data Engineer,Revold World,Martinez-James
90,35,5,Performance Testing,8,2025-02-11,Deborah Davis,Data,ML Engineer,NBC,"Mcclure, Howard and Patterson"
91,186,2,Design Review,10,2025-01-24,Jason Smith,Data,Data Engineer,Revold World,Martinez-James
92,173,5,Meeting,8,2025-01-09,Duane Smith,Design,UI Designer,NBC,"Mcclure, Howard and Patterson"
93,155,2,Performance Testing,8,2025-03-09,Ryan Rogers,Design,Graphic Designer,Revold World,Martinez-James
94,95,4,Meeting,5,2025-02-24,Miguel Miller,Management,Product Owner,SRMG,Conley and Sons
95,145,5,UI Enhancement,7,2025-03-03,Mario Brown,Management,Scrum Master,NBC,"Mcclure, Howard and Patterson"
96,152,4,Bug Fixing,1,2025-02-16,Jennifer Stevens,Admin,HR,SRMG,Conley and Sons
97,137,3,Meeting,2,2025-01-31,Heather Banks,Dev,Software Engineer,Planted,Clark and Sons
98,87,2,Design Review,1,2025-01-02,Andrew Hughes,Data,Data Analyst,Revold World,Martinez-James
99,104,2,UI Enhancement,1,2025-01-28,Timothy Murray,Admin,HR,Revold World,Martinez-James
100,72,1,Bug Fixing,9,2025-01-25,Cynthia Johnson,Admin,HR,Sopheon,"Griffith, Williams and Thornton"
101,142,5,Code Review,1,2025-01-08,Joshua Alexander,Data,Data Engineer,NBC,"Mcclure, Howard and Patterson"
102,173,3,Code Review,7,2025-03-18,Duane Smith,Design,UI Designer,Planted,Clark and Sons
103,108,4,UI Enhancement,3,2025-02-10,Susan Joseph,Admin,Office Manager,SRMG,Conley and Sons
104,153,2,Security Patching,9,2025-01-08,Cody Carroll,Data,Data Engineer,Revold World,Martinez-James
105,85,4,Feature Development,5,2025-02-25,Sean Aguilar,Design,UX Designer,SRMG,Conley and Sons
106,193,4,Performance Testing,7,2025-01-26,Margaret Hernandez,Dev,Backend Developer,SRMG,Conley and Sons
107,178,2,Performance Testing,6,2025-03-24,Robert Pena,Data,Data Analyst,Revold World,Martinez-James
108,171,5,Bug Fixing,10,2025-02-21,Nicolas Alvarez,Dev,Backend Developer,NBC,"Mcclure, Howard and Patterson"
109,179,5,Performance Testing,10,2025-03-17,Jonathan Flowers,Admin,System Admin,NBC,"Mcclure, Howard and Patterson"
110,195,4,Performance Testing,1,2025-01-17,Caroline Benton,QA,Automation Engineer,SRMG,Conley and Sons
111,49,4,Code Review,11,2025-03-22,Robert Baker,Dev,Software Engineer,SRMG,Conley and Sons
112,37,2,Code Review,2,2025-03-09,Amanda Diaz,Data,Data Engineer,Revold World,Martinez-James
113,18,2,Design Review,1,2025-03-03,Allison Barnett,Management,Product Owner,Revold World,Martinez-James
114,65,4,Meeting,6,2025-02-04,Jon Wise,Admin,System Admin,SRMG,Conley and Sons
115,120,5,Performance Testing,8,2025-02-23,Kimberly Yang,Management,Scrum Master,NBC,"Mcclure, Howard and Patterson"
116,1,2,Feature Development,11,2025-01-18,Tina Olson,QA,Test Analyst,Revold World,Martinez-James
117,122,1,Performance Testing,1,2025-03-14,David Downs,Data,ML Engineer,Sopheon,"Griffith, Williams and Thornton"
118,85,4,Design Review,12,2025-01-24,Sean Aguilar,Design,UX Designer,SRMG,Conley and Sons
119,55,2,Feature Development,10,2025-01-27,Sandra Hall,Management,Product Owner,Revold World,Martinez-James
120,175,5,Database Optimization,1,2025-03-10,Michael Gill,Management,Scrum Master,NBC,"Mcclure, Howard and Patterson"
121,61,5,Database Optimization,8,2025-02-27,Leslie Smith,Data,Data Engineer,NBC,"Mcclure, Howard and Patterson"
122,12,3,Code Review,7,2025-03-01,Samantha Collins,Dev,Backend Developer,Planted,Clark and Sons
123,39,5,Bug Fixing,1,2025-03-10,Jeffrey Morgan,Management,Project Manager,NBC,"Mcclure, Howard and Patterson"
124,69,2,Code Review,11,2025-03-15,Jeremiah Mclaughlin,Management,Project Manager,Revold World,Martinez-James
125,53,1,Code Review,4,2025-01-28,Michael Dixon,Data,Data Analyst,Sopheon,"Griffith, Williams and Thornton"
126,127,1,Performance Testing,7,2025-01-28,Sarah Cole,Admin,System Admin,Sopheon,"Griffith, Williams and Thornton"
127,99,2,Design Review,11,2025-02-28,David Cohen,Design,UX Designer,Revold World,Martinez-James
128,139,1,UI Enhancement,1,2025-02-20,Benjamin Torres,QA,Test Analyst,Sopheon,"Griffith, Williams and Thornton"
129,198,1,Design Review,5,2025-02-21,Rachel Dean,Admin,HR,Sopheon,"Griffith, Williams and Thornton"
130,10,5,Bug Fixing,12,2025-02-14,Meagan Garza,Management,Project Manager,NBC,"Mcclure, Howard and Patterson"
131,132,3,Performance Testing,11,2025-01-02,Daniel Jones,Dev,Frontend Developer,Planted,Clark and Sons
132,37,1,Bug Fixing,5,2025-02-26,Amanda Diaz,Data,Data Engineer,Sopheon,"Griffith, Williams and Thornton"
133,143,1,Bug Fixing,9,2025-02-28,Jordan Gomez,Data,Data Analyst,Sopheon,"Griffith, Williams and Thornton"
134,82,4,Bug Fixing,12,2025-03-09,Sharon Graham,Management,Product Owner,SRMG,Conley and Sons
135,3,1,Meeting,5,2025-02-21,Leslie Kemp,Dev,Frontend Developer,Sopheon,"Griffith, Williams and Thornton"
136,87,2,Code Review,1,2025-01-11,Andrew Hughes,Data,Data Analyst,Revold World,Martinez-James
137,76,5,Security Patching,7,2025-03-21,Laura Scott,QA,QA Engineer,NBC,"Mcclure, Howard and Patterson"
138,68,1,Performance Testing,5,2025-01-24,Stephanie Mcclure MD,Design,UI Designer,Sopheon,"Griffith, Williams and Thornton"
139,30,2,Performance Testing,12,2025-03-26,Dawn Henry,Admin,HR,Revold World,Martinez-James
140,31,5,Meeting,10,2025-01-24,James Schroeder,Dev,Backend Developer,NBC,"Mcclure, Howard and Patterson"
141,6,3,Feature Development,12,2025-01-02,Toni Wallace,Data,Data Engineer,Planted,Clark and Sons
142,58,3,Testing,8,2025-02-26,Monique Kennedy,Data,ML Engineer,Planted,Clark and Sons
143,118,5,Bug Fixing,10,2025-01-17,Charles Wong,QA,QA Engineer,NBC,"Mcclure, Howard and Patterson"
144,86,5,Design Review,2,2025-02-17,Phillip Wright,Management,Product Owner,NBC,"Mcclure, Howard and Patterson"
145,180,2,Code Review,10,2025-01-12,Lynn Obrien,Design,Graphic Designer,Revold World,Martinez-James
146,107,4,Design Review,1,2025-01-01,Ryan Hickman,Dev,Frontend Developer,SRMG,Conley and Sons
147,144,5,Performance Testing,4,2025-02-03,Jasmine Jennings,Management,Project Manager,NBC,"Mcclure, Howard and Patterson"
148,70,3,Security Patching,7,2025-02-08,David Burns,Management,Project Manager,Planted,Clark and Sons
149,127,4,Feature Development,12,2025-01-03,Sarah Cole,Admin,System Admin,SRMG,Conley and Sons
150,62,5,Meeting,5,2025-02-20,Christian Martinez II,Dev,Backend Developer,NBC,"Mcclure, Howard and Patterson"
151,117,4,Feature Development,10,2025-03-16,Sarah Miller,Data,Data Analyst,SRMG,Conley and Sons
152,27,5,Testing,10,2025-01-14,Sara Young,Data,Data Engineer,NBC,"Mcclure, Howard and Patterson"
153,48,4,Feature Development,8,2025-03-16,Samantha Cardenas,Management,Project Manager,SRMG,Conley and Sons
154,42,4,UI Enhancement,4,2025-01-02,Ashley Christian,Management,Product Owner,SRMG,Conley and Sons
155,140,3,Feature Development,7,2025-01-24,Mary Graves,QA,Test Analyst,Planted,Clark and Sons
156,33,4,Feature Development,5,2025-01-16,Gloria Robinson,Design,UI Designer,SRMG,Conley and Sons
157,93,1,Design Review,1,2025-01-04,Kristen Golden,Design,UI Designer,Sopheon,"Griffith, Williams and Thornton"
158,75,3,Feature Development,9,2025-02-27,Dan Palmer,QA,Test Analyst,Planted,Clark and Sons
159,81,5,Testing,8,2025-01-17,Kristen Fox,Dev,Frontend Developer,NBC,"Mcclure, Howard and Patterson"
160,58,1,Design Review,4,2025-02-09,Monique Kennedy,Data,ML Engineer,Sopheon,"Griffith, Williams and Thornton"
161,150,5,Testing,3,2025-01-12,Timothy Hernandez,Dev,Backend Developer,NBC,"Mcclure, Howard and Patterson"
162,85,1,Feature Development,10,2025-03-05,Sean Aguilar,Design,UX Designer,Sopheon,"Griffith, Williams and Thornton"
163,70,5,Testing,7,2025-02-20,David Burns,Management,Project Manager,NBC,"Mcclure, Howard and Patterson"
164,14,3,Feature Development,8,2025-03-17,Holly Davidson,Admin,System Admin,Planted,Clark and Sons
165,14,2,Design Review,1,2025-01-07,Holly Davidson,Admin,System Admin,Revold World,Martinez-James
166,153,5,Design Review,1,2025-03-23,Cody Carroll,Data,Data Engineer,NBC,"Mcclure, Howard and Patterson"
167,140,5,Meeting,6,2025-01-09,Mary Graves,QA,Test Analyst,NBC,"Mcclure, Howard and Patterson"
168,100,1,Testing,6,2025-02-22,Dennis Lopez,Data,Data Analyst,Sopheon,"Griffith, Williams and Thornton"
169,82,2,Feature Development,7,2025-03-27,Sharon Graham,Management,Product Owner,Revold World,Martinez-James
170,90,5,Feature Development,7,2025-02-26,Scott Arellano,Management,Scrum Master,NBC,"Mcclure, Howard and Patterson"
171,171,4,Design Review,6,2025-03-23,Nicolas Alvarez,Dev,Backend Developer,SRMG,Conley and Sons
172,80,3,Bug Fixing,12,2025-02-14,Teresa Conway,Data,Data Engineer,Planted,Clark and Sons
173,89,2,Performance Testing,4,2025-03-02,Christopher Mcmahon,Design,Graphic Designer,Revold World,Martinez-James
174,178,5,Security Patching,1,2025-01-14,Robert Pena,Data,Data Analyst,NBC,"Mcclure, Howard and Patterson"
175,27,1,Feature Development,2,2025-02-22,Sara Young,Data,Data Engineer,Sopheon,"Griffith, Williams and Thornton"
176,134,5,Bug Fixing,3,2025-01-04,Joshua Allen,Design,UI Designer,NBC,"Mcclure, Howard and Patterson"
177,41,4,Database Optimization,4,2025-01-30,Christopher Herring,Management,Scrum Master,SRMG,Conley and Sons
178,10,5,Performance Testing,1,2025-03-05,Meagan Garza,Management,Project Manager,NBC,"Mcclure, Howard and Patterson"
179,91,5,Feature Development,2,2025-01-06,Tina Garcia,Dev,Software Engineer,NBC,"Mcclure, Howard and Patterson"
180,80,3,Code Review,2,2025-01-30,Teresa Conway,Data,Data Engineer,Planted,Clark and Sons
181,145,1,Bug Fixing,9,2025-03-01,Mario Brown,Management,Scrum Master,Sopheon,"Griffith, Williams and Thornton"
182,78,3,Code Review,10,2025-01-29,Paul Stevenson,Dev,Backend Developer,Planted,Clark and Sons
183,5,2,Design Review,4,2025-02-04,Kristen Smith,QA,Test Analyst,Revold World,Martinez-James
184,96,5,UI Enhancement,9,2025-02-15,Amy Mccarthy,Management,Product Owner,NBC,"Mcclure, Howard and Patterson"
185,180,1,UI Enhancement,7,2025-01-15,Lynn Obrien,Design,Graphic Designer,Sopheon,"Griffith, Williams and Thornton"
186,150,4,Code Review,4,2025-01-11,Timothy Hernandez,Dev,Backend Developer,SRMG,Conley and Sons
187,3,3,Feature Development,6,2025-01-19,Leslie Kemp,Dev,Frontend Developer,Planted,Clark and Sons
188,152,3,Security Patching,11,2025-01-25,Jennifer Stevens,Admin,HR,Planted,Clark and Sons
189,142,2,Bug Fixing,10,2025-03-22,Joshua Alexander,Data,Data Engineer,Revold World,Martinez-James
190,64,2,Bug Fixing,11,2025-03-05,Steven White,Data,Data Analyst,Revold World,Martinez-James
191,46,2,Code Review,3,2025-01-27,William Rivera,Admin,System Admin,Revold World,Martinez-James
192,155,1,UI Enhancement,11,2025-01-12,Ryan Rogers,Design,Graphic Designer,Sopheon,"Griffith, Williams and Thornton"
193,156,1,Code Review,11,2025-03-17,Steven Smith,QA,QA Engineer,Sopheon,"Griffith, Williams and Thornton"
194,95,2,Feature Development,5,2025-02-28,Miguel Miller,Management,Product Owner,Revold World,Martinez-James
195,66,2,Code Review,2,2025-03-21,David Mitchell,Design,UI Designer,Revold World,Martinez-James
196,34,1,Code Review,1,2025-03-21,Justin Ward,QA,Test Analyst,Sopheon,"Griffith, Williams and Thornton"
197,84,5,UI Enhancement,7,2025-03-04,Charlotte Hinton,Admin,Office Manager,NBC,"Mcclure, Howard and Patterson"
198,131,1,Database Optimization,1,2025-03-18,Juan Kelly,Design,UX Designer,Sopheon,"Griffith, Williams and Thornton"
199,136,1,Code Review,12,2025-03-18,Brittany Black,Design,Graphic Designer,Sopheon,"Griffith, Williams and Thornton"
200,85,5,Testing,1,2025-01-13,Sean Aguilar,Design,UX Designer,NBC,"Mcclure, Howard and Patterson"
201,30,2,Meeting,5,2025-02-19,Dawn Henry,Admin,HR,Revold World,Martinez-James
202,40,4,Feature Development,4,2025-03-20,Virginia Sullivan,Data,Data Analyst,SRMG,Conley and Sons
203,200,2,Bug Fixing,7,2025-01-05,Marie James,QA,QA Engineer,Revold World,Martinez-James
204,46,2,UI Enhancement,2,2025-03-09,William Rivera,Admin,System Admin,Revold World,Martinez-James
205,152,3,Performance Testing,3,2025-01-07,Jennifer Stevens,Admin,HR,Planted,Clark and Sons
206,145,4,Performance Testing,8,2025-03-06,Mario Brown,Management,Scrum Master,SRMG,Conley and Sons
207,90,4,Security Patching,11,2025-03-13,Scott Arellano,Management,Scrum Master,SRMG,Conley and Sons
208,45,1,Bug Fixing,4,2025-02-23,Becky Crawford,Dev,Backend Developer,Sopheon,"Griffith, Williams and Thornton"
209,55,1,Feature Development,5,2025-03-05,Sandra Hall,Management,Product Owner,Sopheon,"Griffith, Williams and Thornton"
210,200,4,Code Review,11,2025-03-07,Marie James,QA,QA Engineer,SRMG,Conley and Sons
211,100,5,Design Review,10,2025-03-12,Dennis Lopez,Data,Data Analyst,NBC,"Mcclure, Howard and Patterson"
212,36,5,Design Review,12,2025-02-28,Wesley Anderson,Design,UI Designer,NBC,"Mcclure, Howard and Patterson"
213,164,2,Design Review,5,2025-03-13,Isabella Coleman,Management,Project Manager,Revold World,Martinez-James
214,178,3,Testing,1,2025-03-15,Robert Pena,Data,Data Analyst,Planted,Clark and Sons
215,42,5,Testing,3,2025-02-23,Ashley Christian,Management,Product Owner,NBC,"Mcclure, Howard and Patterson"
216,199,5,Meeting,11,2025-02-21,Matthew Green,QA,Automation Engineer,NBC,"Mcclure, Howard and Patterson"
217,96,2,Testing,9,2025-03-01,Amy Mccarthy,Management,Product Owner,Revold World,Martinez-James
218,103,1,Performance Testing,11,2025-03-26,Patrick Carlson,QA,Test Analyst,Sopheon,"Griffith, Williams and Thornton"
219,114,1,Bug Fixing,6,2025-02-20,Amber Hall,Management,Scrum Master,Sopheon,"Griffith, Williams and Thornton"
220,101,1,Feature Development,7,2025-02-20,Valerie Davis,Design,UX Designer,Sopheon,"Griffith, Williams and Thornton"
221,105,3,Testing,8,2025-02-17,Kimberly Martin,Dev,Software Engineer,Planted,Clark and Sons
222,180,2,Database Optimization,3,2025-01-24,Lynn Obrien,Design,Graphic Designer,Revold World,Martinez-James
223,161,4,Performance Testing,8,2025-01-19,Brent Wheeler,QA,Test Analyst,SRMG,Conley and Sons
224,35,5,Bug Fixing,4,2025-03-02,Deborah Davis,Data,ML Engineer,NBC,"Mcclure, Howard and Patterson"
225,200,1,Meeting,10,2025-02-21,Marie James,QA,QA Engineer,Sopheon,"Griffith, Williams and Thornton"
226,92,3,UI Enhancement,9,2025-02-24,Michael Morales,Design,UI Designer,Planted,Clark and Sons
227,185,3,Security Patching,3,2025-01-02,Danielle Russo,Dev,Backend Developer,Planted,Clark and Sons
228,107,2,Bug Fixing,10,2025-01-22,Ryan Hickman,Dev,Frontend Developer,Revold World,Martinez-James
229,45,5,Testing,3,2025-01-15,Becky Crawford,Dev,Backend Developer,NBC,"Mcclure, Howard and Patterson"
230,31,5,Security Patching,4,2025-02-21,James Schroeder,Dev,Backend Developer,NBC,"Mcclure, Howard and Patterson"
231,192,5,Feature Development,6,2025-02-28,Justin Obrien,Management,Scrum Master,NBC,"Mcclure, Howard and Patterson"
232,193,2,Security Patching,11,2025-01-23,Margaret Hernandez,Dev,Backend Developer,Revold World,Martinez-James
233,20,2,Testing,8,2025-02-14,Melissa Avery,Design,UX Designer,Revold World,Martinez-James
234,164,4,Database Optimization,7,2025-03-04,Isabella Coleman,Management,Project Manager,SRMG,Conley and Sons
235,155,1,UI Enhancement,9,2025-03-12,Ryan Rogers,Design,Graphic Designer,Sopheon,"Griffith, Williams and Thornton"
236,71,2,Feature Development,10,2025-02-15,Joshua Stafford,QA,Test Analyst,Revold World,Martinez-James
237,24,3,Performance Testing,3,2025-02-10,Michael Garcia,Design,Graphic Designer,Planted,Clark and Sons
238,50,4,UI Enhancement,1,2025-01-13,Michael Snow,Dev,Frontend Developer,SRMG,Conley and Sons
239,16,5,UI Enhancement,5,2025-01-10,Megan Duncan,Data,Data Engineer,NBC,"Mcclure, Howard and Patterson"
240,168,2,Feature Development,1,2025-02-22,Chad Davidson,Dev,Backend Developer,Revold World,Martinez-James
241,4,4,Bug Fixing,7,2025-01-12,Tracy Gonzalez,Management,Project Manager,SRMG,Conley and Sons
242,63,4,Database Optimization,4,2025-01-27,Jason Jones,Design,UI Designer,SRMG,Conley and Sons
243,81,3,Performance Testing,5,2025-01-12,Kristen Fox,Dev,Frontend Developer,Planted,Clark and Sons
244,109,3,Meeting,1,2025-01-22,Laura Ray,QA,Automation Engineer,Planted,Clark and Sons
245,58,3,Security Patching,9,2025-02-12,Monique Kennedy,Data,ML Engineer,Planted,Clark and Sons
246,7,4,Bug Fixing,9,2025-01-24,Mr. Scott Bowman III,Design,UX Designer,SRMG,Conley and Sons
247,91,2,Meeting,6,2025-02-12,Tina Garcia,Dev,Software Engineer,Revold World,Martinez-James
248,71,4,Database Optimization,1,2025-02-07,Joshua Stafford,QA,Test Analyst,SRMG,Conley and Sons
249,48,5,Feature Development,4,2025-02-17,Samantha Cardenas,Management,Project Manager,NBC,"Mcclure, Howard and Patterson"
250,148,5,Bug Fixing,4,2025-03-17,Michael Perkins,Management,Project Manager,NBC,"Mcclure, Howard and Patterson"
